Concursos	NOUN.Masc.Plur	concurso
publicos	ADJ.Masc.Plur	<unknown>
com	ADP	com
inscricoes	NOUN.Fem.Plur	<unknown>
abertas	ADJ.Fem.Plur	aberto
TRIBUNAL	PROPN.Masc.Sing	Tribunal
DE	PROPN.Sing	DE
JUSTICA	PROPN.Sing	<unknown>
DO	ADP_DET.Masc.Sing	de_o
RS	PROPN.Masc.Sing	RS
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
oficial	NOUN.Masc.Sing	oficial
escrevente	ADJ.Masc.Sing	escrevente
(	PUNCT.Par.Left	(
355	NUM	@card@
)	PUNCT.Par.Right	)
Nivel	ADJ.Fem.Sing	<unknown>
:	PUNCT.Colon	:
medio	NOUN.Masc.Sing	<unknown>
Salario	ADJ.Masc.Sing	<unknown>
:	PUNCT.Colon	:
R$	SYM	R$
3.179,94	NUM	@card@
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
5	NUM	5
de	ADP	de
novembro	NOUN.Masc.Sing	novembro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
R$	SYM	R$
60	NUM	60
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
faurgsconcursos	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
ufrgs	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
SECRETARIA	VERB.Fin.Sing	secretariar
DA	ADP_DET.Fem.Sing	de_o
AGRICULTURA	PROPN.Fem.Sing	Agricultura
,	PUNCT.Comma	,
PECUARIA	PROPN.Fem.Sing	<unknown>
E	CCONJ	e
AGRONEGOCIO	PROPN.Masc.Sing	<unknown>
DO	ADP_DET.Masc.Sing	de_o
RS/	PROPN.Masc.Sing	<unknown>
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
veterinarios	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
engenheiros	NOUN.Masc.Plur	engenheiro
agronomos	ADJ.Masc.Plur	<unknown>
e	CCONJ	e
engenheiros	NOUN.Masc.Plur	engenheiro
florestais	ADJ.Masc.Plur	florestal
(	PUNCT.Par.Left	(
130	NUM	130
)	PUNCT.Par.Right	)
Nivel	ADJ.Fem.Sing	<unknown>
:	PUNCT.Colon	:
superior	ADJ.Masc.Sing	alto
Salario	NOUN.Masc.Sing	<unknown>
:	PUNCT.Colon	:
R$	SYM	R$
3.056,70	NUM	@card@
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
6	NUM	6
de	ADP	de
novembro	NOUN.Masc.Sing	novembro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
R$	SYM	R$
137,19	NUM	@card@
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
fdrh	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
rs	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
gov	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
FUNDACAO	PROPN.Masc.Sing	<unknown>
MUNICIPAL	PROPN.Sing	Municipal
DE	PROPN.Sing	DE
SAUDE	PROPN.Sing	<unknown>
DE	PROPN.Sing	DE
CANOAS	PROPN.Sing	<unknown>
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
auxiliares	NOUN.Masc.Plur	auxiliar
de	ADP	de
saude	VERB.Fin.Sing	saudar
bucal	ADJ.Fem.Sing	bucal
(	PUNCT.Par.Left	(
30	NUM	30
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
tecnicos	ADJ.Masc.Plur	<unknown>
de	ADP	de
enfermagem	NOUN.Fem.Sing	enfermagem
(	PUNCT.Par.Left	(
98	NUM	98
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
tecnicos	ADJ.Masc.Plur	<unknown>
em	ADP	em
saude	VERB.Fin.Sing	saudar
bucal	ADJ.Fem.Sing	bucal
(	PUNCT.Par.Left	(
15	NUM	15
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
tecnicos	NOUN.Masc.Plur	<unknown>
administrativos	ADJ.Masc.Plur	administrativo
(	PUNCT.Par.Left	(
3	NUM	3
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
tecnicos	ADJ.Masc.Plur	<unknown>
em	ADP	em
contabilidade	NOUN.Fem.Sing	contabilidade
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
medicos	ADJ.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
35	NUM	35
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
medicos	ADJ.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
30	NUM	30
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
enfermeiros	NOUN.Masc.Plur	enfermeiro
(	PUNCT.Par.Left	(
65	NUM	65
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
psiquiatras	ADJ.Masc.Plur	psiquiatra
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
fisioterapeutas	NOUN.Fem.Plur	fisioterapeuta
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
educadores	NOUN.Masc.Plur	educador
fisicos	ADJ.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
nutricionistas	ADJ.Masc.Plur	nutricionista
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
psicologos	ADJ.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
assistentes	NOUN.Fem.Plur	assistente
sociais	ADJ.Fem.Plur	social
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
fonoaudiologos	NOUN.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
7	NUM	7
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
dentistas	NOUN.Fem.Plur	dentista
(	PUNCT.Par.Left	(
12	NUM	12
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
analista	NOUN.Masc.Sing	analista
de	ADP	de
recursos	NOUN.Masc.Plur	recurso
humanos	ADJ.Masc.Plur	humano
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
Niveis	ADJ.Fem.Plur	<unknown>
:	PUNCT.Colon	:
fundamental	ADJ.Masc.Sing	fundamental
,	PUNCT.Comma	,
medio/tecnico	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
superior	ADJ.Masc.Sing	alto
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
de	ADP	de
R$	SYM	R$
850	NUM	850
a	ADP	a
R$	SYM	R$
10	NUM	10
mil	NUM	mil
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
11	NUM	11
de	ADP	de
novembro	NOUN.Masc.Sing	novembro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
entre	ADP	entre
R$	SYM	R$
40	NUM	40
e	CCONJ	e
R$	SYM	R$
90	NUM	90
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
fundacaolasalle	VERB.Fin.Sing	<unknown>
.	PUNCT.Sent	.
org	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
br/concursos/inscricoes	VERB.Fin.Sing	<unknown>
.	PUNCT.Sent	.
php	NOUN.Masc.Sing	<unknown>
SECRETARIA	VERB.Fin.Sing	secretariar
ESTADUAL	NOUN.Masc.Sing	<unknown>
DA	ADP_DET.Fem.Sing	de_o
SAUDE	PROPN.Fem.Sing	<unknown>
Vagas	PROPN.Sing	<unknown>
e	CCONJ	e
cargos	NOUN.Masc.Plur	cargo
:	PUNCT.Colon	:
1,5	NUM	1,5
mil	NUM	mil
para	ADP	para
assistente	NOUN.Masc.Sing	assistente
em	ADP	em
saude	VERB.Fin.Sing	saudar
,	PUNCT.Comma	,
tecnicos	ADJ.Masc.Plur	<unknown>
em	ADP	em
edificacoes	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
em	ADP	em
enfermagem	NOUN.Fem.Sing	enfermagem
,	PUNCT.Comma	,
em	ADP	em
informatica	NOUN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
radiologia	NOUN.Fem.Sing	radiologia
e	CCONJ	e
em	ADP	em
vigilancia	NOUN.Fem.Sing	<unknown>
em	ADP	em
saude	VERB.Fin.Sing	saudar
,	PUNCT.Comma	,
administrador	NOUN.Masc.Sing	administrador
,	PUNCT.Comma	,
analista	NOUN.Masc.Sing	analista
de	ADP	de
sistemas	NOUN.Masc.Plur	sistema
,	PUNCT.Comma	,
arquiteto	NOUN.Masc.Sing	arquiteto
,	PUNCT.Comma	,
arquivista	NOUN.Masc.Sing	arquivista
,	PUNCT.Comma	,
assessor	NOUN.Masc.Sing	assessor
juridico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
assistente	NOUN.Masc.Sing	assistente
social	ADJ.Masc.Sing	social
,	PUNCT.Comma	,
analista	ADJ.Masc.Sing	analista
em	ADP	em
politicas	VERB.Fin.Sing	politicar
publicas	VERB.Fin.Sing	publicar
,	PUNCT.Comma	,
bibliotecario	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
biologo	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
contador	ADJ.Masc.Sing	contador
,	PUNCT.Comma	,
economista	ADJ.Masc.Sing	economista
,	PUNCT.Comma	,
enfermeiro	NOUN.Masc.Sing	enfermeiro
,	PUNCT.Comma	,
engenheiros	NOUN.Masc.Plur	engenheiro
agronomo	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
civil	ADJ.Masc.Sing	civil
,	PUNCT.Comma	,
de	ADP	de
alimentos	NOUN.Masc.Plur	alimento
,	PUNCT.Comma	,
eletrico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
com	ADP	com
especializacao	NOUN.Masc.Sing	<unknown>
em	ADP	em
saude	VERB.Fin.Sing	saudar
do	ADP_DET.Masc.Sing	de_o
trabalhador	NOUN.Masc.Sing	trabalhador
,	PUNCT.Comma	,
de	ADP	de
materiais	NOUN.Masc.Plur	material
,	PUNCT.Comma	,
mecanico	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
quimico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
estatistico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
farmaceutico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
fisico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
fisioterapeuta	NOUN.Masc.Sing	fisioterapeuta
,	PUNCT.Comma	,
