Saiba	VERB.Fin	saber
como	ADP	como
administrar	VERB.Inf	administrar
seu	DET.Masc.Sing	seu
tempo	NOUN.Masc.Sing	tempo
(	PUNCT.Par.Left	(
e	CCONJ	e
de	ADP	de
graca	NOUN.Fem.Sing	<unknown>
)	PUNCT.Par.Right	)
Um	DET.Masc.Sing	um
workshop	NOUN.Masc.Sing	workshop
gratuito	ADJ.Masc.Sing	gratuito
sobre	ADP	sobre
administracao	NOUN.Masc.Sing	<unknown>
do	ADP_DET.Masc.Sing	de_o
tempo	NOUN.Masc.Sing	tempo
sera	VERB.Fin.Sing	<unknown>
realizado	VERB.Part.Masc.Sing	realizar
neste	ADP_DET.Masc.Sing	em_este
sabado	NOUN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
Porto	PROPN.Masc.Sing	Porto
Alegre	PROPN.Sing	Alegre
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
objetivo	NOUN.Masc.Sing	objetivo
e	CCONJ	e
orientar	VERB.Inf	orientar
sobre	ADP	sobre
como	ADV	como
conseguir	VERB.Inf	conseguir
lidar	VERB.Inf	lidar
com	ADP	com
tantas	DET.Fem.Plur	tanto
atividades	NOUN.Fem.Plur	atividade
,	PUNCT.Comma	,
tarefas	NOUN.Fem.Plur	tarefa
e	CCONJ	e
obrigacoes	NOUN.Fem.Plur	<unknown>
que	PRON.Rel.Fem.Plur	que
surgem	VERB.Fin.Plur	surgir
dentro	ADV	dentro
e	CCONJ	e
fora	ADV	fora
do	ADP_DET.Masc.Sing	de_o
ambiente	NOUN.Masc.Sing	ambiente
de	ADP	de
trabalho	NOUN	trabalho
a	ADP	a
cada	DET.Masc.Sing	cada
dia	NOUN.Masc.Sing	dia
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
iniciativa	NOUN.Fem.Sing	iniciativa
e	CCONJ	e
da	ADP_PRON.Fem.Sing	de_o
agencia	VERB.Fin.Sing	agenciar
Manpower	PROPN.Masc.Sing	<unknown>
e	CCONJ	e
do	ADP_DET.Masc.Sing	de_o
Instituto	PROPN.Masc.Sing	Instituto
de	ADP	de
Pesquisas	PROPN.Sing	Pesquisas
,	PUNCT.Comma	,
Ensino	PROPN.Sing	Ensino
e	CCONJ	e
Gestao	PROPN.Sing	Gestao
em	ADP	em
Saude	PROPN.Sing	<unknown>
(	PUNCT.Par.Left	(
IPGS	PROPN.Fem.Sing	<unknown>
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Para	ADP	para
concorrer	VERB.Inf	concorrer
,	PUNCT.Comma	,
e	CCONJ	e
preciso	ADJ.Masc.Sing	preciso
enviar	VERB.Inf	enviar
e-mail	NOUN.Masc.Sing	e-mail
para	ADP	para
ipgs@ipgs	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
com	PROPN	com
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
evento	NOUN.Masc.Sing	evento
acontecera	VERB.Fin.Sing	acontecer
as	DET.Fem.Plur	o
17h15min	PROPN.Fem.Plur	<unknown>
na	ADP_DET.Fem.Sing	em_o
Rua	PROPN.Fem.Sing	Rua
Pedro	PROPN.Sing	Pedro
Ivo	PROPN.Sing	Ivo
,	PUNCT.Comma	,
891	NUM	@card@
,	PUNCT.Comma	,
Bairro	PROPN.Masc.Sing	Bairro
Mont’serrat	PROPN.Sing	<unknown>
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
vagas	NOUN.Fem.Plur	vaga
sao	ADV	<unknown>
limitadas	VERB.Part.Fem.Plur	limitar
.	PUNCT.Sent	.
Mais	ADV	mais
informacoes	VERB.Fin.Sing	<unknown>
:	PUNCT.Colon	:
(	PUNCT.Par.Left	(
51	NUM	51
)	PUNCT.Par.Right	)
3455-1050	NUM	@card@
.	PUNCT.Sent	.
Postado	VERB.Part.Masc.Sing	postar
por	ADP	por
:	PUNCT.Colon	:
CAREN	PROPN.Masc.Sing	<unknown>
CECILIA	PROPN.Sing	<unknown>
BALDOcaren	PROPN.Sing	<unknown>
.	PUNCT.Sent	.
baldo@diariogaucho	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
com	PROPN	com
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
Categorias	VERB.Fin.Sing	<unknown>
:	PUNCT.Colon	:
anota	VERB.Fin.Sing	anotar
ai	NOUN.Masc.Sing	ai
